title,url,category,source,text_to_cluster,cluster
Counter-terrorism police investigating Kneecap videos,https://www.bbc.com/news/articles/clyqe3v5jjdo,Arts/Culture/Celebrities,Bbc,counterterror polic investig kneecap video metropolitan polic say ground investig video,1
10 of the best TV shows to watch this May,https://www.bbc.com/culture/article/20250429-10-of-the-best-tv-shows-to-watch-this-may,Arts/Culture/Celebrities,Bbc,10 best tv show watch may tina fey new relationship comedi action drama creator lost return sarah jessica parker third season like,1
Robert De Niro shows support for transgender daughter,https://www.bbc.com/news/articles/c8dg3pn24z0o,Arts/Culture/Celebrities,Bbc,robert de niro show support transgend daughter dont know big deal say us hollywood actor,3
Counter-terrorism police investigating Kneecap videos,https://www.bbc.com/news/articles/clyqe3v5jjdo,Arts/Culture/Celebrities,Bbc,counterterror polic investig kneecap video metropolitan polic say ground investig video,1
10 of the best films of 2025 so far,https://www.bbc.com/culture/article/20250423-the-best-films-of-2025,Arts/Culture/Celebrities,Bbc,10 best film 2025 far bbc film critic caryn jame nichola barber pick cinema highlight year far brutal war epic ambiti period vampir drama,1
10 of the best TV shows of 2025 so far,https://www.bbc.com/culture/article/20250417-the-best-tv-shows-of-2025,Arts/Culture/Celebrities,Bbc,10 best tv show 2025 far latest season sever uk miniseri got world talk new hit medic show pick year greatest programm stream right,0
The true story of the first-ever 'rock star' chef,https://www.bbc.com/culture/article/20250428-how-19th-century-bad-boy-antonin-careme-made-food-rock-n-roll,Arts/Culture/Celebrities,Bbc,true stori firstev rock star chef new appl tv seri explor life socal king chef chef king shown wild enfant terribl blaze trail futur gener cook,1
Thunderbolts* is 'the greatest Marvel in years' ★★★★☆,https://www.bbc.com/culture/article/20250429-thunderbolts-film-review,Arts/Culture/Celebrities,Bbc,thunderbolt greatest marvel year latest superhero franchis scrappi scruffylook downtoearth fun charismat florenc pugh centr,1
Why Sinners has become a box-office sensation,https://www.bbc.com/culture/article/20250428-the-reason-sinners-has-become-a-true-box-office-sensation,Arts/Culture/Celebrities,Bbc,sinner becom boxoffic sensat ryan coogler vampir film extraordinari second weekend box offic victori wholli origin bigbudget film cinema landscap familiar franchis,1
Aldrich Ames: The most damaging double agent in US history,https://www.bbc.com/culture/article/20250424-how-aldrich-ames-became-the-uss-most-damaging-double-agent,Arts/Culture/Celebrities,Bbc,aldrich ame damag doubl agent us histori cia offic spent nearli decad sell secret soviet union lead death least 10 western agent 1994 bbc spoke one spi betray,1
The overlooked masterpiece full of coded messages about WW1,https://www.bbc.com/culture/article/20250423-the-masterpiece-full-of-coded-messages-about-ww1,Arts/Culture/Celebrities,Bbc,overlook masterpiec full code messag ww1 esoter pioneer paint lesserknown preraphaelit evelyn de morgan explor trauma mean war prefigur current fantasi art,1
The gory Shakespeare play that makes people faint,https://www.bbc.com/culture/article/20250422-the-gory-shakespeare-play-that-makes-people-faint,Arts/Culture/Celebrities,Bbc,gori shakespear play make peopl faint titu andronicu bard violent work new product set one extrem take yet rais question watch brutal,1
The fake Hitler diaries that fooled the press,https://www.bbc.com/culture/article/20250414-the-fake-hitler-diaries-that-fooled-rupert-murdoch,Arts/Culture/Celebrities,Bbc,fake hitler diari fool press april 1983 british newspap sunday time claim print extraordinari histor document fact forg diari extraordinari hoax,1
The men behind the Great Train Robbery,https://www.bbc.com/culture/article/20250410-the-men-behind-the-great-train-robbery,Arts/Culture/Celebrities,Bbc,men behind great train robberi twelv suspect put trial april 1964 decad later sever talk bbc notori heist,1
How the US dropped nuclear bombs on Spain in 1966 accident,https://www.bbc.com/culture/article/20250404-how-the-us-dropped-nuclear-bombs-on-spain-in-1966,Arts/Culture/Celebrities,Bbc,us drop nuclear bomb spain 1966 accid two plane collid three hydrogen bomb hit spanish villag one fell sea nearbi two year later villag talk bbc terrifi accid,1
How Bill Gates mapped out the internet era in 1993,https://www.bbc.com/culture/article/20250327-how-bill-gates-predicted-our-it-age-back-in-1993,Arts/Culture/Celebrities,Bbc,bill gate map internet era 1993 gate paul allen launch comput giant microsoft 50 year ago 1993 talk bbc onlin innov would defin 21st centuri,1
The true story of The Great Escape,https://www.bbc.com/culture/article/20250320-the-true-story-of-the-great-escape,Arts/Culture/Celebrities,Bbc,true stori great escap march 1944 76 offic broke german prisonerofwar camp 1977 key member escap team talk bbc mission hollywood film inspir,3
Jean-Luc Godard on the film that changed cinema,https://www.bbc.com/culture/article/20250313-jean-luc-godard-on-the-film-that-changed-cinema,Arts/Culture/Celebrities,Bbc,jeanluc godard film chang cinema stylish experiment breathless herald new era filmmak releas 65 year ago 1964 director told bbc broke everi rule could,1
'One to one' with John Lennon and Yoko Ono,https://www.bbc.com/reel/video/p0l3gdnp/-one-to-one-with-john-lennon-and-yoko-ono,Arts/Culture/Celebrities,Bbc,one one john lennon yoko ono bbc tom brook explor neverbeforeseen footag share person connect new documentari,1
Why Elton John burst into tears after recording a song,https://www.bbc.com/reel/video/p0kpwp60/why-elton-john-burst-into-tears-after-recording-a-song,Arts/Culture/Celebrities,Bbc,elton john burst tear record song musician explain heavi moment think lyric song forthcom album,1
Chris Pratt on having Arnold Schwarzenegger as his father-in-law,https://www.bbc.com/reel/video/p0kvc7t6/chris-pratt-on-having-schwarzenegger-as-his-father-in-law,Arts/Culture/Celebrities,Bbc,chri pratt arnold schwarzenegg fatherinlaw us actor reveal ritual famou fatherinlaw includ let win chess,1
The strange origins of daylight savings time,https://www.bbc.com/reel/video/p0kwwlv7/the-strange-origins-of-daylight-savings-time,Arts/Culture/Celebrities,Bbc,strang origin daylight save time insect hunter new zealand name georg hudson respons clock chang twice year,1
Brooke Shields on mature beauty,https://www.bbc.com/reel/video/p0ks2trm/brooke-shields-on-mature-beauty,Arts/Culture/Celebrities,Bbc,brook shield matur beauti katti kay talk actress brook shield life career age,1
Green Man Festival silent on Kneecap inclusion,https://www.bbc.com/news/articles/c4grdqlk7l5o,Arts/Culture/Celebrities,Bbc,green man festiv silent kneecap inclus call remov rapper lineup sever venu cancel gig,1
Film festival celebrates region's textile history,https://www.bbc.com/news/articles/cx20zg0n52jo,Arts/Culture/Celebrities,Bbc,film festiv celebr region textil histori alchemi festiv hawick includ film look role textil border,1
Woman completes granddaughter's unfinished novel,https://www.bbc.com/news/articles/c078rm3zde7o,Arts/Culture/Celebrities,Bbc,woman complet granddaught unfinish novel lorrain martin promis granddaught would finish book,1
BBC Proms to return to Bristol Beacon,https://www.bbc.com/news/articles/c4g2dr0k68mo,Arts/Culture/Celebrities,Bbc,bbc prom return bristol beacon classic orchestra concert return citi august,1
Mod clothing exhibition set to open in Brighton,https://www.bbc.com/news/articles/crm30mv30myo,Arts/Culture/Celebrities,Bbc,mod cloth exhibit set open brighton crowd mod fashion style 195866 open brighton museum 10 may,1
'Playing Celine Dion on stage is a lot of pressure',https://www.bbc.com/news/articles/cgqv54330dlo,Arts/Culture/Celebrities,Bbc,play celin dion stage lot pressur lauren drew 32 port talbot play star titaniqu music london west end,3
More Kneecap gigs cancelled after 'kill your MP' controversy,https://www.bbc.com/news/articles/c8x8n5kn80qo,Arts/Culture/Celebrities,Bbc,kneecap gig cancel kill mp controversi ticket site irish rap band gig hamburg berlin cologn confirm summer show longer go ahead,1
Stone lion sculpture gets facelift to match twin,https://www.bbc.com/news/articles/c2kv7pnx28qo,Arts/Culture/Celebrities,Bbc,stone lion sculptur get facelift match twin lion gate weelsbi wood grimsbi face chang match partner,1
When are the 2025 local elections and who can vote?,https://www.bbc.com/news/articles/cvgdwwrdz3xo,Politics,Bbc,2025 local elect vote voter part england elect councillor mayor 1 may,1
Counter-terrorism police investigating Kneecap videos,https://www.bbc.com/news/articles/clyqe3v5jjdo,Politics,Bbc,counterterror polic investig kneecap video metropolitan polic say ground investig video,1
Bin dispute goes to May Day mediation talks,https://www.bbc.com/news/articles/cwyqrny47rno,Politics,Bbc,bin disput goe may day mediat talk talk thursday see concili servic aca includ negoti first time,0
"'Unacceptable' to question Supreme Court gender ruling, says minister",https://www.bbc.com/news/articles/cjwvx1z3l2qo,Politics,Bbc,unaccept question suprem court gender rule say minist shabana mahmood said judg uk highest court provid legal clariti,3
When are the 2025 local elections and who can vote?,https://www.bbc.com/news/articles/cvgdwwrdz3xo,Politics,Bbc,2025 local elect vote voter part england elect councillor mayor 1 may,1
Labour defends net-zero policies after Blair criticism,https://www.bbc.com/news/articles/cq80974l402o,Politics,Bbc,labour defend netzero polici blair critic former pm sir toni blair say limit fossil fuel doom fail new approach need,1
MPs watchdog probes Reeves' theatre tickets declaration,https://www.bbc.com/news/articles/c2lzqr8055go,Politics,Bbc,mp watchdog probe reev theatr ticket declar bbc told chancellor accept donat add mp regist interest,1
Counter-terrorism police investigating Kneecap videos,https://www.bbc.com/news/articles/clyqe3v5jjdo,Politics,Bbc,counterterror polic investig kneecap video metropolitan polic say ground investig video,1
Badenoch accuses government of failure on grooming gangs,https://www.bbc.com/news/articles/cx2vmdgdddyo,Politics,Bbc,badenoch accus govern failur groom gang govern face grow demand reveal area run groom gang inquir,1
Government not taking climate seriously - advisers,https://www.bbc.com/news/articles/cvgpey03pnno,Politics,Bbc,govern take climat serious advis govern made littl progress prepar uk rise temperatur climat watchdog ccc say,3
Sex offenders to be denied asylum rights in new law,https://www.bbc.com/news/articles/cvg7q0e77exo,Politics,Bbc,sex offend deni asylum right new law asylum seeker place sex offend regist deni right stay uk,0
Milkshakes and lattes could be covered by sugar tax,https://www.bbc.com/news/articles/cpwzekdznldo,Politics,Bbc,milkshak latt could cover sugar tax tax would appli manufactur milkbas drink dairybas substitut plan,1
What photo ID will you need to vote in the local elections?,https://www.bbc.com/news/explainers-64877005,Politics,Bbc,photo id need vote local elect everyon vote person may local elect england must show valid photo id,1
Is there a local election in my area and where can I vote?,https://www.bbc.com/news/articles/cd925jk27k0o,Politics,Bbc,local elect area vote find whether elect near thursday vote use lookup tool,1
Who's standing in the Runcorn by-election?,https://www.bbc.com/news/articles/c8epkwk2we3o,Politics,Bbc,who stand runcorn byelect total 15 peopl vy next mp runcorn helsbi cheshir,1
Watch: What's at stake in these local elections?,https://www.bbc.com/news/videos/cevdmjvke2po,Politics,Bbc,watch what stake local elect watch what stake local elect,1
Is Welsh Labour turning away from Keir Starmer?,https://www.bbc.com/news/articles/cg41d2k9p4do,Politics,Bbc,welsh labour turn away keir starmer could frustrat welsh uk labour boil ask polit editor gareth lewi,1
FA bars transgender women from women's football,https://www.bbc.com/sport/football/articles/cz01z4rdx4no,Sports,Bbc,fa bar transgend women women footbal transgend women longer abl play women footbal england follow polici chang footbal associ,1
Europa League build-up: Man Utd and Spurs set for season-defining semi-finals,https://www.bbc.com/sport/football/live/crkx5rlzz0pt,Sports,Bbc,europa leagu buildup man utd spur set seasondefin semifin england look set begin defin year one inexperienc pace attack past two decad,1
Why more than £100m rests on Man Utd winning Europa League,https://www.bbc.com/sport/football/articles/c789ezrv2kzo,Sports,Bbc,100m rest man utd win europa leagu england look set begin defin year one inexperienc pace attack past two decad,1
James unsure of future after Lakers play-off loss,https://www.bbc.com/sport/basketball/articles/czjnljyz7zvo,Sports,Bbc,jame unsur futur laker playoff loss england look set begin defin year one inexperienc pace attack past two decad,1
The Arctic Circle giant-killers out to upset Postecoglou again,https://www.bbc.com/sport/football/articles/cedy4xe2e32o,Sports,Bbc,arctic circl giantkil upset postecogl england look set begin defin year one inexperienc pace attack past two decad,1
Into the Lions' den - spiritual San Mames awaits Man Utd,https://www.bbc.com/sport/football/articles/ce82l4ek442o,Sports,Bbc,lion den spiritu san mame await man utd england look set begin defin year one inexperienc pace attack past two decad,1
'A talent that comes along every 50 years' - 'genius' Yamal steals show,https://www.bbc.com/sport/football/articles/c1eg12y2qpdo,Sports,Bbc,talent come along everi 50 year geniu yamal steal show england look set begin defin year one inexperienc pace attack past two decad,1
Five unsung heroes of Chelsea's WSL title success,https://www.bbc.com/sport/football/articles/c0l060rxgj5o,Sports,Bbc,five unsung hero chelsea wsl titl success england look set begin defin year one inexperienc pace attack past two decad,1
'Those muscles gone' - Haney & Garcia clash in New York,https://www.bbc.com/sport/boxing/articles/cz6dzje991xo,Sports,Bbc,muscl gone haney garcia clash new york england look set begin defin year one inexperienc pace attack past two decad,1
How teenager George broke through Chelsea's £1bn squad,https://www.bbc.com/sport/football/articles/c3r83389eqno,Sports,Bbc,teenag georg broke chelsea 1bn squad england look set begin defin year one inexperienc pace attack past two decad,1
Messi's Miami thrashed in Champions Cup semi-final,https://www.bbc.com/sport/football/articles/c078r7ex21yo,Sports,Bbc,messi miami thrash champion cup semifin england look set begin defin year one inexperienc pace attack past two decad,1
Fan critical after falling from stand at MLB game,https://www.bbc.com/sport/baseball/articles/c367d6zd7p7o,Sports,Bbc,fan critic fall stand mlb game england look set begin defin year one inexperienc pace attack past two decad,1
World Snooker Championship - live text,https://www.bbc.com/sport/snooker/live/cx200xzgj8pt,Sports,Bbc,world snooker championship live text england look set begin defin year one inexperienc pace attack past two decad,1
England set to start key year with callow attack,https://www.bbc.com/sport/cricket/articles/czrvz714m08o,Sports,Bbc,england set start key year callow attack england look set begin defin year one inexperienc pace attack past two decad,1
'All that matters is showing I deserve to be here',https://www.bbc.com/sport/mixed-martial-arts/articles/ckg2w9pz13eo,Sports,Bbc,matter show deserv barri jone run rule fight ryan garcia devin haney take place weekend,1
Stunning goals and incredible drama - Barca & Inter deliver match for the ages,https://www.bbc.com/sport/football/articles/c7vnggzlmgjo,Sports,Bbc,stun goal incred drama barca inter deliv match age barri jone run rule fight ryan garcia devin haney take place weekend,1
Lord's to host final of 2026 Women's T20 World Cup,https://www.bbc.com/sport/cricket/articles/c98gvp0ljn6o,Sports,Bbc,lord host final 2026 women t20 world cup barri jone run rule fight ryan garcia devin haney take place weekend,1
How Chelsea extended dynasty with latest WSL title,https://www.bbc.com/sport/football/articles/cp91eje3jm2o,Sports,Bbc,chelsea extend dynasti latest wsl titl barri jone run rule fight ryan garcia devin haney take place weekend,1
Rui dropped by New Zealand for Pacific Four Series,https://www.bbc.com/sport/rugby-union/articles/c99p89285n4o,Sports,Bbc,rui drop new zealand pacif four seri barri jone run rule fight ryan garcia devin haney take place weekend,1
Ex-West Ham boss Lopetegui named Qatar manager,https://www.bbc.com/sport/football/articles/c1eg576jee2o,Sports,Bbc,exwest ham boss lopetegui name qatar manag barri jone run rule fight ryan garcia devin haney take place weekend,1
"Garcia, Haney and Inoue to fight in 72-hour feast",https://www.bbc.com/sport/boxing/articles/c1wd1lxy358o,Sports,Bbc,garcia haney inou fight 72hour feast barri jone run rule fight ryan garcia devin haney take place weekend,1
The WSL invincibles? Chelsea eye records after sealing another title,https://www.bbc.com/sport/football/articles/c4g7vyj7zr0o,Sports,Bbc,wsl invinc chelsea eye record seal anoth titl legendari captain willi john mcbride feel caelan dori best candid lead british irish lion australia summer,2
"'Times have changed, one clip can earn an England call-up'",https://www.bbc.com/sport/cricket/articles/cj0z3np26y8o,Sports,Bbc,time chang one clip earn england callup legendari captain willi john mcbride feel caelan dori best candid lead british irish lion australia summer,2
Is snooker 'dying' in Scotland? Or is it just 'different'?,https://www.bbc.com/sport/snooker/articles/c2lzrw2kxx4o,Sports,Bbc,snooker die scotland differ legendari captain willi john mcbride feel caelan dori best candid lead british irish lion australia summer,2
Carson 'one of the people you need around' - Walker,https://www.bbc.com/sport/football/articles/c0m9yl2wk0do,Sports,Bbc,carson one peopl need around walker legendari captain willi john mcbride feel caelan dori best candid lead british irish lion australia summer,2
Rao makes surprise FIA return as Ben Sulayem advisor,https://www.bbc.com/sport/formula1/articles/cg41dpkxyqyo,Sports,Bbc,rao make surpris fia return ben sulayem advisor legendari captain willi john mcbride feel caelan dori best candid lead british irish lion australia summer,2
Flintoff TV show refugee makes Lancs Second XI debut,https://www.bbc.com/sport/cricket/articles/c209l4jx97ro,Sports,Bbc,flintoff tv show refuge make lanc second xi debut legendari captain willi john mcbride feel caelan dori best candid lead british irish lion australia summer,2
Lions legend McBride backs Ireland's Doris for captaincy,https://www.bbc.com/sport/rugby-union/articles/c1k41gex840o,Sports,Bbc,lion legend mcbride back ireland dori captainci legendari captain willi john mcbride feel caelan dori best candid lead british irish lion australia summer,2
Pop icon Jones keeps Williams' title hopes on track,https://www.bbc.com/sport/snooker/articles/c3dk7vy18kgo,Sports,Bbc,pop icon jone keep william titl hope track photo ultrarunn sophi power breastfeed race went viral spark campaign chang,1
Sinner considered quitting during doping case,https://www.bbc.com/sport/tennis/articles/c99p8jrnv7jo,Sports,Bbc,sinner consid quit dope case photo ultrarunn sophi power breastfeed race went viral spark campaign chang,1
"NFL fine Falcons and coach £262,000 for prank call",https://www.bbc.com/sport/american-football/articles/clyw9ezgdnpo,Sports,Bbc,nfl fine falcon coach 262000 prank call photo ultrarunn sophi power breastfeed race went viral spark campaign chang,1
"Suryavanshi, 14, only going to get better - Dravid",https://www.bbc.com/sport/cricket/articles/cdjl08r7lxko,Sports,Bbc,suryavanshi 14 go get better dravid photo ultrarunn sophi power breastfeed race went viral spark campaign chang,1
Rodrygo considering Real Madrid exit - Thursday's gossip,https://www.bbc.com/sport/football/articles/c1me13gkdvjo,Sports,Bbc,rodrygo consid real madrid exit thursday gossip photo ultrarunn sophi power breastfeed race went viral spark campaign chang,1
'I want to get under their skin' - arch-pest Pollock aims for Leinster,https://www.bbc.com/sport/rugby-union/articles/c4g83dn185ro,Sports,Bbc,want get skin archpest pollock aim leinster photo ultrarunn sophi power breastfeed race went viral spark campaign chang,1
The runner who went viral and sparked a campaign for change for women,https://www.bbc.com/sport/athletics/articles/crm3py4jdnno,Sports,Bbc,runner went viral spark campaign chang women photo ultrarunn sophi power breastfeed race went viral spark campaign chang,1
How rejection fuelled Mourinho's second Champions League triumph,https://www.bbc.com/sport/football/articles/cdxnr6510vqo,Sports,Bbc,reject fuell mourinho second champion leagu triumph gloucestershir captain cameron bancroft australian intern ambit,1
"The life, loss and legacy of Kevin Campbell",https://www.bbc.com/sport/football/articles/cy0yq8287weo,Sports,Bbc,life loss legaci kevin campbel gloucestershir captain cameron bancroft australian intern ambit,1
Blood brothers - bonds and betrayal on a rugby pitch,https://www.bbc.com/sport/rugby-union/articles/cqjd1p98l4jo,Sports,Bbc,blood brother bond betray rugbi pitch gloucestershir captain cameron bancroft australian intern ambit,1
Inside the doping deal for tennis' world number one,https://www.bbc.com/sport/tennis/articles/cy5ny6lx5dqo,Sports,Bbc,insid dope deal tenni world number one gloucestershir captain cameron bancroft australian intern ambit,0
How does Daniel Levy run Tottenham - and would he ever leave?,https://www.bbc.com/sport/football/articles/cr53l53g793o,Sports,Bbc,daniel levi run tottenham would ever leav gloucestershir captain cameron bancroft australian intern ambit,1
'Like a Jason Bourne movie' - how Afghan women's team fled Taliban,https://www.bbc.com/sport/cricket/articles/cx2k1z7zg8do,Sports,Bbc,like jason bourn movi afghan women team fled taliban gloucestershir captain cameron bancroft australian intern ambit,1
Why Arsenal can still reach Champions League final,https://www.bbc.com/sport/football/articles/cwy6lx1x8dxo,Sports,Bbc,arsen still reach champion leagu final gloucestershir captain cameron bancroft australian intern ambit,1
The numbers behind Chelsea's latest WSL title,https://www.bbc.com/sport/football/articles/cedyjexwnwqo,Sports,Bbc,number behind chelsea latest wsl titl gloucestershir captain cameron bancroft australian intern ambit,0
